328,1:01:43.135,Entry,7,ITI,,
330,1:03:43.140,Exit,7,ITI,Time,
331,1:03:43.140,Entry,3,CS,,
332,1:03:46.470,Input,1,Left Entrance,,
333,1:03:46.470,Exit,3,CS,1,
334,1:03:46.470,Entry,5,CS Remainder,,
335,1:03:46.475,Input,34,Right Exit,,
336,1:03:58.140,Exit,5,CS Remainder,Time,
337,1:03:58.140,Entry,6,after CS,,
338,1:03:58.640,Exit,6,after CS,Time,
339,1:03:58.640,Entry,7,ITI,,
341,1:04:03.245,Input,2,Right Entrance,,
342,1:04:03.255,Input,33,Left Exit,,
343,1:04:28.680,Input,1,Left Entrance,,
344,1:04:28.680,Input,34,Right Exit,,
345,1:04:41.750,Input,2,Right Entrance,,
346,1:04:41.760,Input,33,Left Exit,,
347,1:06:38.645,Exit,7,ITI,Time,
348,1:06:38.645,Entry,3,CS,,
349,1:06:42.480,Input,1,Left Entrance,,
350,1:06:42.480,Exit,3,CS,1,
351,1:06:42.480,Entry,5,CS Remainder,,
352,1:06:42.485,Input,34,Right Exit,,
353,1:06:53.645,Exit,5,CS Remainder,Time,
354,1:06:53.645,Entry,6,after CS,,
355,1:06:54.145,Exit,6,after CS,Time,
356,1:06:54.145,Entry,7,ITI,,
358,1:06:57.075,Input,2,Right Entrance,,
359,1:06:57.085,Input,33,Left Exit,,
360,1:08:14.150,Exit,7,ITI,Time,
361,1:08:14.150,Entry,3,CS,,
362,1:08:17.195,Input,1,Left Entrance,,
363,1:08:17.195,Input,34,Right Exit,,
364,1:08:17.195,Exit,3,CS,1,
365,1:08:17.195,Entry,5,CS Remainder,,
366,1:08:28.245,Input,2,Right Entrance,,
367,1:08:28.255,Input,33,Left Exit,,
368,1:08:29.150,Exit,5,CS Remainder,Time,
369,1:08:29.150,Entry,6,after CS,,
370,1:08:29.650,Exit,6,after CS,Time,
371,1:08:29.650,Entry,7,ITI,,
373,1:10:09.655,Exit,7,ITI,Time,
374,1:10:09.655,Entry,3,CS,,
375,1:10:13.730,Input,1,Left Entrance,,
376,1:10:13.730,Input,34,Right Exit,,
377,1:10:13.730,Exit,3,CS,1,
378,1:10:13.730,Entry,5,CS Remainder,,
379,1:10:24.655,Exit,5,CS Remainder,Time,
380,1:10:24.655,Entry,6,after CS,,
381,1:10:25.155,Exit,6,after CS,Time,
382,1:10:25.155,Entry,7,ITI,,
384,1:10:26.360,Input,2,Right Entrance,,
385,1:10:26.370,Input,33,Left Exit,,
386,1:12:45.160,Exit,7,ITI,Time,
387,1:12:45.160,Entry,3,CS,,
388,1:12:48.110,Input,1,Left Entrance,,
389,1:12:48.110,Exit,3,CS,1,
390,1:12:48.110,Entry,5,CS Remainder,,
391,1:12:48.115,Input,34,Right Exit,,
392,1:13:00.160,Exit,5,CS Remainder,Time,
